Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W33X169,W33X169,169,49.5,33.8,,,11.5,,0.67,1.22,,,9290,310,17.7
W,W33X152,W33X152,152,44.9,33.5,,,11.6,,0.635,1.06,,,8160,273,12.4
W,W33X141,W33X141,141,41.5,33.3,,,11.5,,0.605,0.96,,,7450,246,9.7
W,W33X130,W33X130,130,38.3,33.1,,,11.5,,0.58,0.855,,,6710,218,7.37
W,W33X118,W33X118,118,34.7,32.9,,,11.5,,0.55,0.74,,,5900,187,5.3
W,W30X391,W30X391,391,115,33.2,,,15.6,,1.36,2.44,,,20700,1550,173
W,W30X357,W30X357,357,105,32.8,,,15.5,,1.24,2.24,,,18700,1390,134
W,W30X326,W30X326,326,95.9,32.4,,,15.4,,1.14,2.05,,,16800,1240,103
W,W30X292,W30X292,292,86,32,,,15.3,,1.02,1.85,,,14900,1100,75.2
W,W30X261,W30X261,261,77,31.6,,,15.2,,0.93,1.65,,,13100,959,54.1
W,W30X235,W30X235,235,69.3,31.3,,,15.1,,0.83,1.5,,,11700,855,40.3
W,W30X211,W30X211,211,62.3,30.9,,,15.1,,0.775,1.32,,,10300,757,28.4
W,W30X191,W30X191,191,56.1,30.7,,,15,,0.71,1.19,,,9200,673,21
W,W30X173,W30X173,173,50.9,30.4,,,15,,0.655,1.07,,,8230,598,15.6
W,W30X148,W30X148,148,43.6,30.7,,,10.5,,0.65,1.18,,,6680,227,14.5
W,W30X132,W30X132,132,38.8,30.3,,,10.5,,0.615,1,,,5770,196,9.72
W,W30X124,W30X124,124,36.5,30.2,,,10.5,,0.585,0.93,,,5360,181,7.99
W,W30X116,W30X116,116,34.2,30,,,10.5,,0.565,0.85,,,4930,164,6.43
W,W30X108,W30X108,108,31.7,29.8,,,10.5,,0.545,0.76,,,4470,146,4.99
W,W30X99,W30X99,99,29,29.7,,,10.5,,0.52,0.67,,,3990,128,3.77
W,W30X90,W30X90,90,26.3,29.5,,,10.4,,0.47,0.61,,,3610,115,2.84
W,W27X539,W27X539,539,159,32.5,,,15.3,,1.97,3.54,,,25600,2110,496
W,W27X368,W27X368,368,109,30.4,,,14.7,,1.38,2.48,,,16200,1310,170
W,W27X336,W27X336,336,99.2,30,,,14.6,,1.26,2.28,,,14600,1180,131
W,W27X307,W27X307,307,90.2,29.6,,,14.4,,1.16,2.09,,,13100,1050,101
W,W27X281,W27X281,281,83.1,29.3,,,14.4,,1.06,1.93,,,11900,953,79.5
W,W27X258,W27X258,258,76.1,29,,,14.3,,0.98,1.77,,,10800,859,61.6
W,W27X235,W27X235,235,69.4,28.7,,,14.2,,0.91,1.61,,,9700,769,47
W,W27X217,W27X217,217,63.9,28.4,,,14.1,,0.83,1.5,,,8910,704,37.6
W,W27X194,W27X194,194,57.1,28.1,,,14,,0.75,1.34,,,7860,619,27.1
W,W27X178,W27X178,178,52.5,27.8,,,14.1,,0.725,1.19,,,7020,555,20.1
W,W27X161,W27X161,161,47.6,27.6,,,14,,0.66,1.08,,,6310,497,15.1
W,W27X146,W27X146,146,43.2,27.4,,,14,,0.605,0.975,,,5660,443,11.3
W,W27X129,W27X129,129,37.8,27.6,,,10,,0.61,1.1,,,4760,184,11.1
W,W27X114,W27X114,114,33.6,27.3,,,10.1,,0.57,0.93,,,4080,159,7.33
W,W27X102,W27X102,102,30,27.1,,,10,,0.515,0.83,,,3620,139,5.28
W,W27X94,W27X94,94,27.6,26.9,,,10,,0.49,0.745,,,3270,124,4.03
W,W27X84,W27X84,84,24.7,26.7,,,10,,0.46,0.64,,,2850,106,2.81
