Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W5X16,W5X16,16,4.71,5.01,,,5,,0.24,0.36,,,21.4,7.51,0.192
W,W4X13,W4X13,13,3.83,4.16,,,4.06,,0.28,0.345,,,11.3,3.86,0.151
HSS,HSS34X10X1,HSS34X10X1,277.07,76.2,,34,,,10,,,1,0.93,9600,1340,4040
HSS,HSS34X10X.875,HSS34X10X7/8,244.88,67.3,,34,,,10,,,0.875,0.814,8600,1210,3630
HSS,HSS34X10X.750,HSS34X10X3/4,212,58.2,,34,,,10,,,0.75,0.698,7550,1070,3190
HSS,HSS34X10X.625,HSS34X10X5/8,178.41,48.9,,34,,,10,,,0.625,0.581,6430,924,2720
HSS,HSS30X10X1,HSS30X10X1,249.85,68.7,,30,,,10,,,1,0.93,6900,1180,3460
HSS,HSS30X10X.875,HSS30X10X7/8,221.06,60.8,,30,,,10,,,0.875,0.814,6190,1070,3110
HSS,HSS30X10X.750,HSS30X10X3/4,191.58,52.6,,30,,,10,,,0.75,0.698,5440,952,2730
HSS,HSS30X10X.625,HSS30X10X5/8,161.4,44.3,,30,,,10,,,0.625,0.581,4640,820,2330
HSS,HSS30X10X.500,HSS30X10X1/2,130.52,35.8,,30,,,10,,,0.5,0.465,3810,679,1910
HSS,HSS24X20X.750,HSS24X20X3/4,212,58.2,,24,,,20,,,0.75,0.698,4960,3750,6740
HSS,HSS24X20X.625,HSS24X20X5/8,178.41,48.9,,24,,,20,,,0.625,0.581,4220,3190,5690
HSS,HSS24X20X.500,HSS24X20X1/2,144.13,39.5,,24,,,20,,,0.5,0.465,3450,2610,4620
HSS,HSS24X20X.375,HSS24X20X3/8,109.15,29.9,,24,,,20,,,0.375,0.349,2640,2000,3510
HSS,HSS24X20X.313,HSS24X20X5/16,91.39,25.1,,24,,,20,,,0.3125,0.291,2230,1690,2950
HSS,HSS24X18X.750,HSS24X18X3/4,201.79,55.4,,24,,,18,,,0.75,0.698,4580,2940,5690
HSS,HSS24X18X.625,HSS24X18X5/8,169.91,46.6,,24,,,18,,,0.625,0.581,3900,2510,4810
HSS,HSS24X18X.500,HSS24X18X1/2,137.32,37.6,,24,,,18,,,0.5,0.465,3190,2060,3910
HSS,HSS24X18X.375,HSS24X18X3/8,104.04,28.5,,24,,,18,,,0.375,0.349,2450,1580,2970
HSS,HSS24X18X.313,HSS24X18X5/16,87.14,23.9,,24,,,18,,,0.3125,0.291,2060,1330,2500
HSS,HSS24X16X.750,HSS24X16X3/4,191.58,52.6,,24,,,16,,,0.75,0.698,4200,2250,4680
HSS,HSS24X16X.625,HSS24X16X5/8,161.4,44.3,,24,,,16,,,0.625,0.581,3580,1920,3960
HSS,HSS24X16X.500,HSS24X16X1/2,130.52,35.8,,24,,,16,,,0.5,0.465,2930,1580,3220
HSS,HSS24X16X.375,HSS24X16X3/8,98.94,27.1,,24,,,16,,,0.375,0.349,2250,1210,2460
HSS,HSS24X16X.313,HSS24X16X5/16,82.88,22.7,,24,,,16,,,0.3125,0.291,1900,1030,2070
HSS,HSS24X14X.750,HSS24X14X3/4,181.37,49.8,,24,,,14,,,0.75,0.698,3820,1660,3730
HSS,HSS24X14X.625,HSS24X14X5/8,152.89000000000001,41.9,,24,,,14,,,0.625,0.581,3260,1420,3170
HSS,HSS24X14X.500,HSS24X14X1/2,123.71000000000001,33.9,,24,,,14,,,0.5,0.465,2680,1170,2580
HSS,HSS24X14X.375,HSS24X14X3/8,93.83,25.7,,24,,,14,,,0.375,0.349,2060,902,1970
HSS,HSS24X14X.313,HSS24X14X5/16,78.63,21.6,,24,,,14,,,0.3125,0.291,1740,763,1660
HSS,HSS24X14X.250,HSS24X14X1/4,63.25,17.4,,24,,,14,,,0.25,0.233,1410,619,1340
HSS,HSS24X12X1,HSS24X12X1,222.63,61.3,,24,,,12,,,1,0.93,4340,1460,3630
HSS,HSS24X12X.875,HSS24X12X7/8,197.24,54.3,,24,,,12,,,0.875,0.814,3910,1320,3250
HSS,HSS24X12X.750,HSS24X12X3/4,171.16,47.1,,24,,,12,,,0.75,0.698,3440,1170,2850
HSS,HSS24X12X.625,HSS24X12X5/8,144.39,39.6,,24,,,12,,,0.625,0.581,2940,1000,2430
HSS,HSS24X12X.500,HSS24X12X1/2,116.91,32.1,,24,,,12,,,0.5,0.465,2420,829,1980
HSS,HSS24X12X.375,HSS24X12X3/8,88.73,24.3,,24,,,12,,,0.375,0.349,1860,642,1520
HSS,HSS24X12X.313,HSS24X12X5/16,74.38,20.4,,24,,,12,,,0.3125,0.291,1570,543,1280
HSS,HSS24X12X.250,HSS24X12X1/4,59.85,16.4,,24,,,12,,,0.25,0.233,1280,442,1030
HSS,HSS24X8X.500,HSS24X8X1/2,103.3,28.3,,24,,,8,,,0.5,0.465,1900,336,955
HSS,HSS24X8X.375,HSS24X8X3/8,78.52,21.5,,24,,,8,,,0.375,0.349,1470,263,739
HSS,HSS24X8X.313,HSS24X8X5/16,65.87,18.1,,24,,,8,,,0.3125,0.291,1250,224,625
HSS,HSS24X8X.250,HSS24X8X1/4,53.050000000000004,14.6,,24,,,8,,,0.25,0.233,1010,183,508
HSS,HSS22X22X1,HSS22X22X1,277.07,76.2,,22,,,22,,,1,0.93,5550,5550,8890
HSS,HSS22X22X.875,HSS22X22X7/8,244.88,67.3,,22,,,22,,,0.875,0.814,4970,4970,7890
HSS,HSS22X22X.750,HSS22X22X3/4,212,58.2,,22,,,22,,,0.75,0.698,4350,4350,6860
HSS,HSS22X22X.625,HSS22X22X5/8,178.41,48.9,,22,,,22,,,0.625,0.581,3710,3710,5790
HSS,HSS22X22X.500,HSS22X22X1/2,144.13,39.5,,22,,,22,,,0.5,0.465,3030,3030,4700
HSS,HSS22X20X.750,HSS22X20X3/4,201.79,55.4,,22,,,20,,,0.75,0.698,4040,3490,5920
HSS,HSS22X20X.625,HSS22X20X5/8,169.91,46.6,,22,,,20,,,0.625,0.581,3440,2970,5000
HSS,HSS22X20X.500,HSS22X20X1/2,137.32,37.6,,22,,,20,,,0.5,0.465,2820,2440,4060
HSS,HSS22X20X.375,HSS22X20X3/8,104.04,28.5,,22,,,20,,,0.375,0.349,2160,1870,3090
HSS,HSS22X20X.313,HSS22X20X5/16,87.14,23.9,,22,,,20,,,0.3125,0.291,1820,1580,2590
HSS,HSS22X18X.750,HSS22X18X3/4,191.58,52.6,,22,,,18,,,0.75,0.698,3720,2730,5000
HSS,HSS22X18X.625,HSS22X18X5/8,161.4,44.3,,22,,,18,,,0.625,0.581,3170,2330,4230
HSS,HSS22X18X.500,HSS22X18X1/2,130.52,35.8,,22,,,18,,,0.5,0.465,2600,1910,3440
HSS,HSS22X18X.375,HSS22X18X3/8,98.94,27.1,,22,,,18,,,0.375,0.349,2000,1470,2620
HSS,HSS22X18X.313,HSS22X18X5/16,82.88,22.7,,22,,,18,,,0.3125,0.291,1680,1240,2200
HSS,HSS22X16X.750,HSS22X16X3/4,181.37,49.8,,22,,,16,,,0.75,0.698,3400,2080,4130
HSS,HSS22X16X.625,HSS22X16X5/8,152.89000000000001,41.9,,22,,,16,,,0.625,0.581,2910,1780,3500
HSS,HSS22X16X.500,HSS22X16X1/2,123.71000000000001,33.9,,22,,,16,,,0.5,0.465,2380,1470,2850
HSS,HSS22X16X.375,HSS22X16X3/8,93.83,25.7,,22,,,16,,,0.375,0.349,1830,1130,2170
HSS,HSS22X16X.313,HSS22X16X5/16,78.63,21.6,,22,,,16,,,0.3125,0.291,1550,954,1830
HSS,HSS22X16X.250,HSS22X16X1/4,63.25,17.4,,22,,,16,,,0.25,0.233,1250,774,1470
HSS,HSS22X14X.750,HSS22X14X3/4,171.16,47.1,,22,,,14,,,0.75,0.698,3090,1530,3300
HSS,HSS22X14X.625,HSS22X14X5/8,144.39000000000001,39.6,,22,,,14,,,0.625,0.581,2640,1320,2800
HSS,HSS22X14X.500,HSS22X14X1/2,116.91,32.1,,22,,,14,,,0.5,0.465,2170,1080,2290
HSS,HSS22X14X.375,HSS22X14X3/8,88.73,24.3,,22,,,14,,,0.375,0.349,1670,837,1750
HSS,HSS22X14X.313,HSS22X14X5/16,74.38,20.4,,22,,,14,,,0.3125,0.291,1410,708,1470
HSS,HSS22X14X.250,HSS22X14X1/4,59.85,16.4,,22,,,14,,,0.25,0.233,1140,575,1190
HSS,HSS22X10X.625,HSS22X10X5/8,127.37,35,,22,,,10,,,0.625,0.581,2110,614,1560
HSS,HSS22X10X.500,HSS22X10X1/2,103.3,28.3,,22,,,10,,,0.5,0.465,1740,510,1280
HSS,HSS22X10X.375,HSS22X10X3/8,78.52,21.5,,22,,,10,,,0.375,0.349,1340,397,986
HSS,HSS22X10X.313,HSS22X10X5/16,65.87,18.1,,22,,,10,,,0.3125,0.291,1140,337,832
HSS,HSS22X10X.250,HSS22X10X1/4,53.050000000000004,14.6,,22,,,10,,,0.25,0.233,923,275,674
HSS,HSS20X20X1,HSS20X20X1,249.85,68.7,,20,,,20,,,1,0.93,4100,4100,6600
HSS,HSS20X20X.875,HSS20X20X7/8,221.06,60.8,,20,,,20,,,0.875,0.814,3670,3670,5870
HSS,HSS20X20X.750,HSS20X20X3/4,191.58,52.6,,20,,,20,,,0.75,0.698,3230,3230,5110
HSS,HSS20X20X.625,HSS20X20X5/8,161.4,44.3,,20,,,20,,,0.625,0.581,2750,2750,4320
HSS,HSS20X20X.500,HSS20X20X1/2,130.52,35.8,,20,,,20,,,0.5,0.465,2260,2260,3510
HSS,HSS20X20X.375,HSS20X20X3/8,98.94,27.1,,20,,,20,,,0.375,0.349,1740,1740,2680
HSS,HSS20X20X.313,HSS20X20X5/16,82.88,22.7,,20,,,20,,,0.3125,0.291,1460,1460,2250
HSS,HSS20X16X.750,HSS20X16X3/4,171.16,47.1,,20,,,16,,,0.75,0.698,2710,1920,3590
HSS,HSS20X16X.625,HSS20X16X5/8,144.39000000000001,39.6,,20,,,16,,,0.625,0.581,2320,1640,3040
HSS,HSS20X16X.500,HSS20X16X1/2,116.91,32.1,,20,,,16,,,0.5,0.465,1900,1350,2480
HSS,HSS20X16X.375,HSS20X16X3/8,88.73,24.3,,20,,,16,,,0.375,0.349,1470,1040,1890
HSS,HSS20X16X.313,HSS20X16X5/16,74.38,20.4,,20,,,16,,,0.3125,0.291,1240,882,1590
HSS,HSS20X16X.250,HSS20X16X1/4,59.85,16.4,,20,,,16,,,0.25,0.233,1000,716,1280
HSS,HSS20X12X1,HSS20X12X1,195.4,53.8,,20,,,12,,,1,0.93,2740,1230,2820
HSS,HSS20X12X.875,HSS20X12X7/8,173.43,47.7,,20,,,12,,,0.875,0.814,2480,1110,2530
HSS,HSS20X12X.750,HSS20X12X3/4,150.75,41.5,,20,,,12,,,0.75,0.698,2190,988,2220
HSS,HSS20X12X.625,HSS20X12X5/8,127.37,35,,20,,,12,,,0.625,0.581,1880,851,1890
HSS,HSS20X12X.500,HSS20X12X1/2,103.3,28.3,,20,,,12,,,0.5,0.465,1550,705,1540
HSS,HSS20X12X.375,HSS20X12X3/8,78.52,21.5,,20,,,12,,,0.375,0.349,1200,547,1180
HSS,HSS20X12X.313,HSS20X12X5/16,65.87,18.1,,20,,,12,,,0.3125,0.291,1010,464,997
HSS,HSS20X8X1,HSS20X8X1,168.18,46.4,,20,,,8,,,1,0.93,2060,472,1320
HSS,HSS20X8X.875,HSS20X8X7/8,149.61,41.2,,20,,,8,,,0.875,0.814,1880,432,1200
HSS,HSS20X8X.750,HSS20X8X3/4,130.33,35.9,,20,,,8,,,0.75,0.698,1670,388,1060
HSS,HSS20X8X.625,HSS20X8X5/8,110.36,30.3,,20,,,8,,,0.625,0.581,1440,338,916
HSS,HSS20X8X.500,HSS20X8X1/2,89.68,24.6,,20,,,8,,,0.5,0.465,1190,283,757
HSS,HSS20X8X.375,HSS20X8X3/8,68.31,18.7,,20,,,8,,,0.375,0.349,926,222,586
HSS,HSS20X8X.313,HSS20X8X5/16,57.36,15.7,,20,,,8,,,0.3125,0.291,786,189,496
HSS,HSS20X6X.625,HSS20X6X5/8,101.85000000000001,28,,20,,,6,,,0.625,0.581,1220,175,528
HSS,HSS20X6X.500,HSS20X6X1/2,82.88,22.8,,20,,,6,,,0.5,0.465,1020,148,441
HSS,HSS20X6X.375,HSS20X6X3/8,63.21,17.3,,20,,,6,,,0.375,0.349,792,118,345
HSS,HSS20X6X.313,HSS20X6X5/16,53.11,14.6,,20,,,6,,,0.3125,0.291,673,101,293
HSS,HSS20X6X.250,HSS20X6X1/4,42.84,11.8,,20,,,6,,,0.25,0.233,549,82.9,240
HSS,HSS20X4X.500,HSS20X4X1/2,76.07,20.9,,20,,,4,,,0.5,0.465,838,58.7,195
HSS,HSS20X4X.375,HSS20X4X3/8,58.1,16,,20,,,4,,,0.375,0.349,657,47.6,156
HSS,HSS20X4X.313,HSS20X4X5/16,48.86,13.4,,20,,,4,,,0.3125,0.291,560,41.2,134
HSS,HSS20X4X.250,HSS20X4X1/4,39.43,10.8,,20,,,4,,,0.25,0.233,458,34.3,111
HSS,HSS18X18X1,HSS18X18X1,222.63,61.3,,18,,,18,,,1,0.93,2920,2920,4740
HSS,HSS18X18X.875,HSS18X18X7/8,197.24,54.3,,18,,,18,,,0.875,0.814,2630,2630,4220
HSS,HSS18X18X.750,HSS18X18X3/4,171.16,47.1,,18,,,18,,,0.75,0.698,2320,2320,3690
HSS,HSS18X18X.625,HSS18X18X5/8,144.39,39.6,,18,,,18,,,0.625,0.581,1980,1980,3120
HSS,HSS18X18X.500,HSS18X18X1/2,116.91,32.1,,18,,,18,,,0.5,0.465,1630,1630,2540
HSS,HSS18X18X.375,HSS18X18X3/8,88.73,24.3,,18,,,18,,,0.375,0.349,1250,1250,1940
HSS,HSS18X18X.313,HSS18X18X5/16,74.38,20.4,,18,,,18,,,0.3125,0.291,1060,1060,1630
HSS,HSS18X18X.250,HSS18X18X1/4,59.85,16.4,,18,,,18,,,0.25,0.233,860,860,1320
HSS,HSS18X10X.625,HSS18X10X5/8,110.36,30.3,,18,,,10,,,0.625,0.581,1280,511,1190
HSS,HSS18X10X.500,HSS18X10X1/2,89.68,24.6,,18,,,10,,,0.5,0.465,1060,425,977
HSS,HSS18X10X.375,HSS18X10X3/8,68.31,18.7,,18,,,10,,,0.375,0.349,820,332,752
HSS,HSS18X10X.313,HSS18X10X5/16,57.36,15.7,,18,,,10,,,0.3125,0.291,695,282,635
HSS,HSS18X10X.250,HSS18X10X1/4,46.24,12.7,,18,,,10,,,0.25,0.233,566,230,515
HSS,HSS18X8X.625,HSS18X8X5/8,101.85000000000001,28,,18,,,8,,,0.625,0.581,1100,306,797
HSS,HSS18X8X.500,HSS18X8X1/2,82.88,22.8,,18,,,8,,,0.5,0.465,913,257,659
HSS,HSS18X8X.375,HSS18X8X3/8,63.21,17.3,,18,,,8,,,0.375,0.349,711,202,510
HSS,HSS18X8X.313,HSS18X8X5/16,53.11,14.6,,18,,,8,,,0.3125,0.291,604,172,432
HSS,HSS18X8X.250,HSS18X8X1/4,42.84,11.8,,18,,,8,,,0.25,0.233,492,141,351
HSS,HSS18X6X.750,HSS18X6X3/4,109.91,30.3,,18,,,6,,,0.75,0.698,1060,179,530
HSS,HSS18X6X.625,HSS18X6X5/8,93.34,25.7,,18,,,6,,,0.625,0.581,923,158,462
HSS,HSS18X6X.500,HSS18X6X1/2,76.07,20.9,,18,,,6,,,0.5,0.465,770,134,387
HSS,HSS18X6X.375,HSS18X6X3/8,58.1,16,,18,,,6,,,0.375,0.349,602,106,302
HSS,HSS18X6X.313,HSS18X6X5/16,48.86,13.4,,18,,,6,,,0.3125,0.291,513,91.3,257
HSS,HSS18X6X.250,HSS18X6X1/4,39.43,10.8,,18,,,6,,,0.25,0.233,419,75.1,210
HSS,HSS16X16X1,HSS16X16X1,195.4,53.8,,16,,,16,,,1,0.93,1990,1990,3270
HSS,HSS16X16X.875,HSS16X16X7/8,173.43,47.7,,16,,,16,,,0.875,0.814,1800,1800,2920
HSS,HSS16X16X.750,HSS16X16X3/4,150.75,41.5,,16,,,16,,,0.75,0.698,1590,1590,2560
HSS,HSS16X16X.625,HSS16X16X5/8,127.37,35,,16,,,16,,,0.625,0.581,1370,1370,2170
HSS,HSS16X16X.500,HSS16X16X1/2,103.3,28.3,,16,,,16,,,0.5,0.465,1130,1130,1770
HSS,HSS16X16X.375,HSS16X16X3/8,78.52,21.5,,16,,,16,,,0.375,0.349,873,873,1350
HSS,HSS16X16X.313,HSS16X16X5/16,65.87,18.1,,16,,,16,,,0.3125,0.291,739,739,1140
HSS,HSS16X16X.250,HSS16X16X1/4,53.050000000000004,14.6,,16,,,16,,,0.25,0.233,600,600,921
HSS,HSS16X12X1,HSS16X12X1,168.18,46.4,,16,,,12,,,1,0.93,1570,1000,2030
HSS,HSS16X12X.875,HSS16X12X7/8,149.61,41.2,,16,,,12,,,0.875,0.814,1430,910,1830
HSS,HSS16X12X.750,HSS16X12X3/4,130.33,35.9,,16,,,12,,,0.75,0.698,1270,810,1610
HSS,HSS16X12X.625,HSS16X12X5/8,110.36,30.3,,16,,,12,,,0.625,0.581,1090,700,1370
HSS,HSS16X12X.500,HSS16X12X1/2,89.68,24.6,,16,,,12,,,0.5,0.465,904,581,1120
HSS,HSS16X12X.375,HSS16X12X3/8,68.31,18.7,,16,,,12,,,0.375,0.349,702,452,862
HSS,HSS16X12X.313,HSS16X12X5/16,57.36,15.7,,16,,,12,,,0.3125,0.291,595,384,727
HSS,HSS16X10X.625,HSS16X10X5/8,101.85000000000001,28,,16,,,10,,,0.625,0.581,953,459,1010
HSS,HSS16X10X.500,HSS16X10X1/2,82.88,22.8,,16,,,10,,,0.5,0.465,792,383,829
HSS,HSS16X10X.375,HSS16X10X3/8,63.21,17.3,,16,,,10,,,0.375,0.349,616,299,639
HSS,HSS16X10X.313,HSS16X10X5/16,53.11,14.6,,16,,,10,,,0.3125,0.291,523,255,539
HSS,HSS16X10X.250,HSS16X10X1/4,42.84,11.8,,16,,,10,,,0.25,0.233,426,208,437
HSS,HSS16X8X.875,HSS16X8X7/8,125.79,34.7,,16,,,8,,,0.875,0.814,1050,348,888
HSS,HSS16X8X.750,HSS16X8X3/4,109.91,30.3,,16,,,8,,,0.75,0.698,939,314,790
HSS,HSS16X8X.625,HSS16X8X5/8,93.34,25.7,,16,,,8,,,0.625,0.581,815,274,681
HSS,HSS16X8X.500,HSS16X8X1/2,76.07,20.9,,16,,,8,,,0.5,0.465,679,230,563
HSS,HSS16X8X.375,HSS16X8X3/8,58.1,16,,16,,,8,,,0.375,0.349,531,181,436
HSS,HSS16X8X.313,HSS16X8X5/16,48.86,13.4,,16,,,8,,,0.3125,0.291,451,155,369
HSS,HSS16X8X.250,HSS16X8X1/4,39.43,10.8,,16,,,8,,,0.25,0.233,368,127,300
HSS,HSS16X6X.625,HSS16X6X5/8,84.84,23.3,,16,,,6,,,0.625,0.581,677,141,398
HSS,HSS16X6X.500,HSS16X6X1/2,69.27,19,,16,,,6,,,0.5,0.465,567,120,333
HSS,HSS16X6X.375,HSS16X6X3/8,53,14.6,,16,,,6,,,0.375,0.349,445,95.3,260
HSS,HSS16X6X.313,HSS16X6X5/16,44.6,12.2,,16,,,6,,,0.3125,0.291,379,81.8,222
HSS,HSS16X6X.250,HSS16X6X1/4,36.03,9.9,,16,,,6,,,0.25,0.233,311,67.4,181
HSS,HSS16X6X.188,HSS16X6X3/16,27.29,7.46,,16,,,6,,,0.1875,0.174,237,51.8,138
HSS,HSS16X4X.625,HSS16X4X5/8,76.33,21,,16,,,4,,,0.625,0.581,539,54.1,174
HSS,HSS16X4X.500,HSS16X4X1/2,62.46,17.2,,16,,,4,,,0.5,0.465,455,47,150
HSS,HSS16X4X.375,HSS16X4X3/8,47.9,13.2,,16,,,4,,,0.375,0.349,360,38.3,120
HSS,HSS16X4X.313,HSS16X4X5/16,40.35,11.1,,16,,,4,,,0.3125,0.291,308,33.2,103
HSS,HSS16X4X.250,HSS16X4X1/4,32.63,8.96,,16,,,4,,,0.25,0.233,253,27.7,85.2
HSS,HSS16X4X.188,HSS16X4X3/16,24.73,6.76,,16,,,4,,,0.1875,0.174,193,21.5,65.5
HSS,HSS14X14X1,HSS14X14X1,168.18,46.4,,14,,,14,,,1,0.93,1290,1290,2130
HSS,HSS14X14X.875,HSS14X14X7/8,149.61,41.2,,14,,,14,,,0.875,0.814,1170,1170,1910
HSS,HSS14X14X.750,HSS14X14X3/4,130.33,35.9,,14,,,14,,,0.75,0.698,1040,1040,1680
HSS,HSS14X14X.625,HSS14X14X5/8,110.36,30.3,,14,,,14,,,0.625,0.581,897,897,1430
HSS,HSS14X14X.500,HSS14X14X1/2,89.68,24.6,,14,,,14,,,0.5,0.465,743,743,1170
HSS,HSS14X14X.375,HSS14X14X3/8,68.31,18.7,,14,,,14,,,0.375,0.349,577,577,900
HSS,HSS14X14X.313,HSS14X14X5/16,57.36,15.7,,14,,,14,,,0.3125,0.291,490,490,759
HSS,HSS14X14X.250,HSS14X14X1/4,46.24,12.7,,14,,,14,,,0.25,0.233,399,399,614
HSS,HSS14X12X.625,HSS14X12X5/8,101.85000000000001,28,,14,,,12,,,0.625,0.581,792,624,1120
HSS,HSS14X12X.500,HSS14X12X1/2,82.88,22.8,,14,,,12,,,0.5,0.465,658,519,921
HSS,HSS14X12X.375,HSS14X12X3/8,63.21,17.3,,14,,,12,,,0.375,0.349,512,405,708
HSS,HSS14X12X.313,HSS14X12X5/16,53.11,14.6,,14,,,12,,,0.3125,0.291,435,344,598
HSS,HSS14X12X.250,HSS14X12X1/4,42.84,11.8,,14,,,12,,,0.25,0.233,354,280,484
HSS,HSS14X10X.875,HSS14X10X7/8,125.79,34.7,,14,,,10,,,0.875,0.814,886,522,1100
HSS,HSS14X10X.750,HSS14X10X3/4,109.91,30.3,,14,,,10,,,0.75,0.698,792,468,970
HSS,HSS14X10X.625,HSS14X10X5/8,93.34,25.7,,14,,,10,,,0.625,0.581,687,407,832
HSS,HSS14X10X.500,HSS14X10X1/2,76.07,20.9,,14,,,10,,,0.5,0.465,573,341,685
HSS,HSS14X10X.375,HSS14X10X3/8,58.1,16,,14,,,10,,,0.375,0.349,447,267,528
HSS,HSS14X10X.313,HSS14X10X5/16,48.86,13.4,,14,,,10,,,0.3125,0.291,380,227,446
HSS,HSS14X10X.250,HSS14X10X1/4,39.43,10.8,,14,,,10,,,0.25,0.233,310,186,362
HSS,HSS14X8X.625,HSS14X8X5/8,84.84,23.3,,14,,,8,,,0.625,0.581,582,242,566
HSS,HSS14X8X.500,HSS14X8X1/2,69.27,19,,14,,,8,,,0.5,0.465,487,204,469
HSS,HSS14X8X.375,HSS14X8X3/8,53,14.6,,14,,,8,,,0.375,0.349,382,161,363
HSS,HSS14X8X.313,HSS14X8X5/16,44.6,12.2,,14,,,8,,,0.3125,0.291,325,138,308
HSS,HSS14X8X.250,HSS14X8X1/4,36.03,9.9,,14,,,8,,,0.25,0.233,266,113,250
HSS,HSS14X8X.188,HSS14X8X3/16,27.29,7.46,,14,,,8,,,0.1875,0.174,203,86.4,190
HSS,HSS14X6X.625,HSS14X6X5/8,76.33,21,,14,,,6,,,0.625,0.581,478,124,334
HSS,HSS14X6X.500,HSS14X6X1/2,62.46,17.2,,14,,,6,,,0.5,0.465,402,105,279
HSS,HSS14X6X.375,HSS14X6X3/8,47.9,13.2,,14,,,6,,,0.375,0.349,317,84.1,219
HSS,HSS14X6X.313,HSS14X6X5/16,40.35,11.1,,14,,,6,,,0.3125,0.291,271,72.3,186
HSS,HSS14X6X.250,HSS14X6X1/4,32.63,8.96,,14,,,6,,,0.25,0.233,222,59.6,152
HSS,HSS14X6X.188,HSS14X6X3/16,24.73,6.76,,14,,,6,,,0.1875,0.174,170,45.9,116
HSS,HSS14X4X.625,HSS14X4X5/8,67.82,18.7,,14,,,4,,,0.625,0.581,373,47.2,148
HSS,HSS14X4X.500,HSS14X4X1/2,55.66,15.3,,14,,,4,,,0.5,0.465,317,41.2,127
HSS,HSS14X4X.375,HSS14X4X3/8,42.79,11.8,,14,,,4,,,0.375,0.349,252,33.6,102
HSS,HSS14X4X.313,HSS14X4X5/16,36.1,9.92,,14,,,4,,,0.3125,0.291,216,29.2,87.7
HSS,HSS14X4X.250,HSS14X4X1/4,29.23,8.03,,14,,,4,,,0.25,0.233,178,24.4,72.4
HSS,HSS14X4X.188,HSS14X4X3/16,22.18,6.06,,14,,,4,,,0.1875,0.174,137,19,55.8
HSS,HSS12X12X1,HSS12X12X1,140.96,39,,12,,,12,,,1,0.93,772,772,1300
HSS,HSS12X12X.875,HSS12X12X7/8,125.79,34.7,,12,,,12,,,0.875,0.814,706,706,1170
HSS,HSS12X12X.750,HSS12X12X3/4,109.91,30.3,,12,,,12,,,0.75,0.698,631,631,1030
HSS,HSS12X12X.625,HSS12X12X5/8,93.34,25.7,,12,,,12,,,0.625,0.581,548,548,885
HSS,HSS12X12X.500,HSS12X12X1/2,76.07,20.9,,12,,,12,,,0.5,0.465,457,457,728
HSS,HSS12X12X.375,HSS12X12X3/8,58.1,16,,12,,,12,,,0.375,0.349,357,357,561
HSS,HSS12X12X.313,HSS12X12X5/16,48.86,13.4,,12,,,12,,,0.3125,0.291,304,304,474
HSS,HSS12X12X.250,HSS12X12X1/4,39.43,10.8,,12,,,12,,,0.25,0.233,248,248,384
HSS,HSS12X12X.188,HSS12X12X3/16,29.84,8.15,,12,,,12,,,0.1875,0.174,189,189,290
HSS,HSS12X10X.625,HSS12X10X5/8,84.84,23.3,,12,,,10,,,0.625,0.581,472,356,661
HSS,HSS12X10X.500,HSS12X10X1/2,69.27,19,,12,,,10,,,0.5,0.465,395,298,545
HSS,HSS12X10X.375,HSS12X10X3/8,53,14.6,,12,,,10,,,0.375,0.349,310,234,421
HSS,HSS12X10X.313,HSS12X10X5/16,44.6,12.2,,12,,,10,,,0.3125,0.291,264,200,356
HSS,HSS12X10X.250,HSS12X10X1/4,36.03,9.9,,12,,,10,,,0.25,0.233,216,164,289
HSS,HSS12X10X.188,HSS12X10X3/16,27.29,7.46,,12,,,10,,,0.1875,0.174,165,125,219
HSS,HSS12X8X.625,HSS12X8X5/8,76.33,21,,12,,,8,,,0.625,0.581,397,210,454
HSS,HSS12X8X.500,HSS12X8X1/2,62.46,17.2,,12,,,8,,,0.5,0.465,333,178,377
HSS,HSS12X8X.375,HSS12X8X3/8,47.9,13.2,,12,,,8,,,0.375,0.349,262,140,293
HSS,HSS12X8X.313,HSS12X8X5/16,40.35,11.1,,12,,,8,,,0.3125,0.291,224,120,248
HSS,HSS12X8X.250,HSS12X8X1/4,32.63,8.96,,12,,,8,,,0.25,0.233,184,98.8,202
HSS,HSS12X8X.188,HSS12X8X3/16,24.73,6.76,,12,,,8,,,0.1875,0.174,140,75.7,153
HSS,HSS12X6X.625,HSS12X6X5/8,67.82,18.7,,12,,,6,,,0.625,0.581,321,107,271
HSS,HSS12X6X.500,HSS12X6X1/2,55.66,15.3,,12,,,6,,,0.5,0.465,271,91.1,227
HSS,HSS12X6X.375,HSS12X6X3/8,42.79,11.8,,12,,,6,,,0.375,0.349,215,72.9,178
HSS,HSS12X6X.313,HSS12X6X5/16,36.1,9.92,,12,,,6,,,0.3125,0.291,184,62.8,152
HSS,HSS12X6X.250,HSS12X6X1/4,29.23,8.03,,12,,,6,,,0.25,0.233,151,51.9,124
HSS,HSS12X6X.188,HSS12X6X3/16,22.18,6.06,,12,,,6,,,0.1875,0.174,116,40,94.6
HSS,HSS12X4X.625,HSS12X4X5/8,59.32,16.4,,12,,,4,,,0.625,0.581,245,40.4,122
